"Longitude","Latitude","Title","Treezone"
"150.99595","-33.948584","Syzygium paniculatum","TZ2"
"150.994551","-33.949246","Melaleuca styphelioides","TZ2"
"150.994627","-33.949028","Eucalyptus microcorys","TZ2"
"150.997378","-33.946622","Callistemon viminalis","TZ2"
"150.994812","-33.948831","Grevillea robusta","TZ2"
"150.997349","-33.946768","Glochidion ferdinandi","TZ2"
"150.994804","-33.948856","Casuarina glauca","TZ2"
"150.994743","-33.949004","Callistemon viminalis","TZ2"
"150.997264","-33.947066","Callistemon viminalis","TZ2"
"150.997202","-33.947323","Callistemon viminalis","TZ2"
"150.994708","-33.949118","Corymbia maculata","TZ2"
"150.997126","-33.947615","Callistemon viminalis","TZ2"
"150.994665","-33.949356","Tristaniopsis laurina","TZ2"
"150.997083","-33.947865","Callistemon salignus","TZ2"
"150.994639","-33.94944","Robinia pseudoacacia","TZ2"
"150.997025","-33.948123","Callistemon viminalis","TZ2"
"150.996964","-33.948392","Pittosporum rhombifolium","TZ2"
"150.996958","-33.948434","Callistemon viminalis","TZ2"
"150.99457","-33.949862","Callistemon viminalis","TZ2"
"150.996937","-33.948513","Callistemon salignus","TZ2"
"150.994371","-33.950051","Eucalyptus sideroxylon","TZ2"
"150.994381","-33.949958","Eucalyptus sideroxylon","TZ2"
"150.996903","-33.94869","Hibiscus rosa-sinensis","TZ2"
"150.994531","-33.949351","Eucalyptus haemastoma","TZ2"
"150.99685","-33.948946","Jacaranda mimosifolia","TZ2"
"150.996818","-33.949087","Callistemon salignus","TZ2"
"150.996783","-33.949229","Callistemon salignus","TZ2"
"150.996765","-33.949349","Callistemon salignus","TZ2"
"150.996721","-33.949517","Callistemon salignus","TZ2"
"150.994883","-33.950147","Tristaniopsis laurina","TZ2"
"150.996661","-33.949807","Leptospermum petersonii","TZ2"
"150.995367","-33.95011","Tristaniopsis laurina","TZ2"
"150.996421","-33.949997","Tristaniopsis laurina","TZ2"
"150.996281","-33.950018","Lophostemon confertus","TZ2"
"150.996002","-33.950037","Tristaniopsis laurina","TZ2"
"150.996145","-33.950021","Lophostemon confertus","TZ2"
"150.995811","-33.950061","Lophostemon confertus","TZ2"
"150.989124","-33.9539","Eucalyptus microcorys","TZ2"
"150.989181","-33.953876","Eucalyptus microcorys","TZ2"
"150.989274","-33.953825","Eucalyptus microcorys","TZ2"
"150.989341","-33.95379","Eucalyptus microcorys","TZ2"
"151.004199","-33.949324","Eucalyptus sp.","TZ2"
"150.989399","-33.953759","Eucalyptus microcorys","TZ2"
"150.989478","-33.953716","Eucalyptus microcorys","TZ2"
"151.003847","-33.949272","Pistachia chinensis","TZ2"
"150.989597","-33.953634","Eucalyptus microcorys","TZ2"
"150.989685","-33.953595","Eucalyptus microcorys","TZ2"
"151.003273","-33.949426","Pistachia chinensis","TZ2"
